Metric,Value
ir__drop__worst,0.0009
ir__voltage__worst,1.8000
magic__drc_error__count,0
magic__illegal_overlap__count,0
power__internal__total,0.0788
power__leakage__total,0.0000
power__switching__total,0.0316
power__total,0.1104
route__antenna_violation__count,0
route__drc_errors,0
route__drc_errors__iter:0,381
route__drc_errors__iter:1,44
route__drc_errors__iter:2,48
route__drc_errors__iter:3,0
route__drc_errors__iter:4,30
route__drc_errors__iter:5,0
route__net,55459
route__net__special,2
route__vias,416971
route__vias__multicut,0
route__vias__singlecut,416971
route__wirelength,1809667
route__wirelength__estimated,1590920.0000
route__wirelength__iter:0,1809770
route__wirelength__iter:1,1809717
route__wirelength__iter:2,1809694
route__wirelength__iter:3,1809667
route__wirelength__iter:4,1809657
route__wirelength__iter:5,1809646
route__wirelength__max,1045.1000
synthesis__check_error__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
timing__hold__tns,0.0000
timing__hold__tns__corner:max_ff_n40C_1v95,0.0000
timing__hold__tns__corner:max_ss_100C_1v60,0.0000
timing__hold__tns__corner:max_tt_025C_1v80,0.0000
timing__hold__tns__corner:min_ff_n40C_1v95,0.0000
timing__hold__tns__corner:min_ss_100C_1v60,0.0000
timing__hold__tns__corner:min_tt_025C_1v80,0.0000
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0000
timing__hold__tns__corner:nom_ss_100C_1v60,0.0000
timing__hold__tns__corner:nom_tt_025C_1v80,0.0000
timing__hold__wns,0.0000
timing__hold__wns__corner:max_ff_n40C_1v95,0.0000
timing__hold__wns__corner:max_ss_100C_1v60,0.0000
timing__hold__wns__corner:max_tt_025C_1v80,0.0000
timing__hold__wns__corner:min_ff_n40C_1v95,0.0000
timing__hold__wns__corner:min_ss_100C_1v60,0.0000
timing__hold__wns__corner:min_tt_025C_1v80,0.0000
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0000
timing__hold__wns__corner:nom_ss_100C_1v60,0.0000
timing__hold__wns__corner:nom_tt_025C_1v80,0.0000
timing__hold__ws,0.0749
timing__hold__ws__corner:max_ff_n40C_1v95,0.0942
timing__hold__ws__corner:max_ss_100C_1v60,0.0749
timing__hold__ws__corner:max_tt_025C_1v80,0.2953
timing__hold__ws__corner:min_ff_n40C_1v95,0.0938
timing__hold__ws__corner:min_ss_100C_1v60,0.1122
timing__hold__ws__corner:min_tt_025C_1v80,0.2948
timing__hold__ws__corner:nom_ff_n40C_1v95,0.0939
timing__hold__ws__corner:nom_ss_100C_1v60,0.0987
timing__hold__ws__corner:nom_tt_025C_1v80,0.2950
timing__hold_r2r__ws,0.0938
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.0942
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.8359
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.2953
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.0938
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.8353
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.2948
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.0939
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.8355
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.2950
timing__hold_r2r_vio__count,0
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_vio__count,0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__setup__tns,-42.6945
timing__setup__tns__corner:max_ff_n40C_1v95,0.0000
timing__setup__tns__corner:max_ss_100C_1v60,-42.6945
timing__setup__tns__corner:max_tt_025C_1v80,0.0000
timing__setup__tns__corner:min_ff_n40C_1v95,0.0000
timing__setup__tns__corner:min_ss_100C_1v60,-41.3407
timing__setup__tns__corner:min_tt_025C_1v80,0.0000
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0000
timing__setup__tns__corner:nom_ss_100C_1v60,-41.7049
timing__setup__tns__corner:nom_tt_025C_1v80,0.0000
timing__setup__wns,-2.0232
timing__setup__wns__corner:max_ff_n40C_1v95,0.0000
timing__setup__wns__corner:max_ss_100C_1v60,-2.0232
timing__setup__wns__corner:max_tt_025C_1v80,0.0000
timing__setup__wns__corner:min_ff_n40C_1v95,0.0000
timing__setup__wns__corner:min_ss_100C_1v60,-2.0060
timing__setup__wns__corner:min_tt_025C_1v80,0.0000
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0000
timing__setup__wns__corner:nom_ss_100C_1v60,-2.0114
timing__setup__wns__corner:nom_tt_025C_1v80,0.0000
timing__setup__ws,-2.0232
timing__setup__ws__corner:max_ff_n40C_1v95,5.7337
timing__setup__ws__corner:max_ss_100C_1v60,-2.0232
timing__setup__ws__corner:max_tt_025C_1v80,3.8214
timing__setup__ws__corner:min_ff_n40C_1v95,5.7195
timing__setup__ws__corner:min_ss_100C_1v60,-2.0060
timing__setup__ws__corner:min_tt_025C_1v80,3.8451
timing__setup__ws__corner:nom_ff_n40C_1v95,5.7249
timing__setup__ws__corner:nom_ss_100C_1v60,-2.0114
timing__setup__ws__corner:nom_tt_025C_1v80,3.8376
timing__setup_r2r__ws,-2.0232
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,6.8328
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-2.0232
timing__setup_r2r__ws__corner:max_tt_025C_1v80,3.8214
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,6.8363
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-2.0060
timing__setup_r2r__ws__corner:min_tt_025C_1v80,3.8451
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,6.8353
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.0114
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,3.8376
timing__setup_r2r_vio__count,298
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,101
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,98
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,99
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count,298
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ss_100C_1v60,101
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ss_100C_1v60,98
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,99
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count,489
timing__unannotated_net__count__corner:max_ff_n40C_1v95,489
timing__unannotated_net__count__corner:max_ss_100C_1v60,489
timing__unannotated_net__count__corner:max_tt_025C_1v80,489
timing__unannotated_net__count__corner:min_ff_n40C_1v95,489
timing__unannotated_net__count__corner:min_ss_100C_1v60,489
timing__unannotated_net__count__corner:min_tt_025C_1v80,489
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,489
